accuracy,loss,val_accuracy,val_loss,stage
0.5226190686225891,1.0616734027862549,0.6566666960716248,0.754603922367096,freeze_base
0.6361904740333557,0.8020880222320557,0.7177777886390686,0.6492928862571716,freeze_base
0.663095235824585,0.7217766046524048,0.7366666793823242,0.6133333444595337,freeze_base
0.6816666722297668,0.6839695572853088,0.7277777791023254,0.5856890082359314,freeze_base
0.6988095045089722,0.6520124077796936,0.746666669845581,0.5716125965118408,freeze_base
0.708809494972229,0.6441022157669067,0.7588889002799988,0.5643798112869263,freeze_base
0.7147619128227234,0.6193228960037231,0.7444444298744202,0.5539422631263733,freeze_base
0.7228571176528931,0.604181170463562,0.7644444704055786,0.5557850003242493,freeze_base
0.7247619032859802,0.5898737907409668,0.7555555701255798,0.5409872531890869,freeze_base
0.7280952334403992,0.5915635824203491,0.757777750492096,0.5366100072860718,freeze_base
0.5940476059913635,0.9349315166473389,0.7433333396911621,0.6027584075927734,fine_tuning
0.6692857146263123,0.7873100638389587,0.7311111092567444,0.6312704682350159,fine_tuning
0.6895238161087036,0.7207028865814209,0.742222249507904,0.6170207858085632,fine_tuning
0.7028571367263794,0.6767407059669495,0.7433333396911621,0.5967205166816711,fine_tuning
0.715238094329834,0.6441394090652466,0.757777750492096,0.5763765573501587,fine_tuning
0.7307142615318298,0.609680712223053,0.7655555605888367,0.5614748597145081,fine_tuning
0.7304762005805969,0.5981630682945251,0.7688888907432556,0.5496229529380798,fine_tuning
0.7450000047683716,0.5672181844711304,0.7711111307144165,0.5379767417907715,fine_tuning
0.7485714554786682,0.5617218613624573,0.7811111211776733,0.5297204256057739,fine_tuning
0.7530952095985413,0.5535652041435242,0.7888888716697693,0.5220248103141785,fine_tuning
